industry,name,quoteType,sector,symbol
Diagnostics & Research,"Agilent Technologies, Inc.",EQUITY,Healthcare,A
Specialty Industrial Machinery,"Barnes Group, Inc.",EQUITY,Industrials,B
Banks—Diversified,"Citigroup, Inc.",EQUITY,Financial Services,C
Utilities—Regulated Electric,"Dominion Energy, Inc.",EQUITY,Utilities,D
Oil & Gas Integrated,ENI S.p.A.,EQUITY,Energy,E
Auto Manufacturers,Ford Motor Company,EQUITY,Consumer Cyclical,F
Information Technology Services,Genpact Limited,EQUITY,Technology,G
Lodging,Hyatt Hotels Corporation,EQUITY,Consumer Cyclical,H
Engineering & Construction,Jacobs Engineering Group Inc.,EQUITY,Industrials,J
Packaged Foods,Kellogg Company,EQUITY,Consumer Defensive,K
Insurance—Property & Casualty,Loews Corporation,EQUITY,Financial Services,L
Department Stores,Macy's Inc,EQUITY,Consumer Cyclical,M
REIT—Retail,Realty Income Corporation,EQUITY,Real Estate,O
Rental & Leasing Services,"Ryder System, Inc.",EQUITY,Industrials,R
Software—Infrastructure,"SentinelOne, Inc.",EQUITY,Technology,S
Telecom Services,AT&T Inc.,EQUITY,Communication Services,T
Credit Services,Visa Inc.,EQUITY,Financial Services,V
Oil & Gas Midstream,Antero Midstream Corporation,EQUITY,Energy,AM
Information Technology Services,"C3.ai, Inc.",EQUITY,Technology,AI
Silver,First Majestic Silver Corp.,EQUITY,Basic Materials,AG
Internet Retail,Wayfair Inc.,EQUITY,Consumer Cyclical,W
Rental & Leasing Services,Air Lease Corporation,EQUITY,Industrials,AL
Insurance—Property & Casualty,Alleghany Corporation,EQUITY,Financial Services,Y
Oil & Gas Refining & Marketing,"Adams Resources & Energy, Inc.",EQUITY,Energy,AE
Steel,United States Steel Corporation,EQUITY,Basic Materials,X
Capital Markets,"Associated Capital Group, Inc.",EQUITY,Financial Services,AC
Aluminum,Alcoa Corporation,EQUITY,Basic Materials,AA
Internet Content & Information,"Zillow Group, Inc.",EQUITY,Communication Services,Z
Asset Management,AllianceBernstein Holding L.P.,EQUITY,Financial Services,AB
Software—Application,Unity Software Inc.,EQUITY,Technology,U
Oil & Gas E&P,Antero Resources Corporation,EQUITY,Energy,AR
Specialty Industrial Machinery,Parker-Hannifin Corporation,EQUITY,Industrials,PH
Insurance—Property & Casualty,Chubb Limited,EQUITY,Financial Services,CB
Internet Content & Information,"Meta Platforms, Inc.",EQUITY,Communication Services,FB
Grocery Stores,Grocery Outlet Holding Corp.,EQUITY,Consumer Defensive,GO
Oil & Gas E&P,SM Energy Company,EQUITY,Energy,SM
Building Products & Equipment,Owens Corning Inc,EQUITY,Industrials,OC
Credit Services,LexinFintech Holdings Ltd.,EQUITY,Financial Services,LX
Shell Companies,Zimmer Energy Transition Acquis,EQUITY,Financial Services,ZT
Oil & Gas Midstream,Energy Transfer LP,EQUITY,Energy,ET
Credit Services,Qudian Inc.,EQUITY,Financial Services,QD
Specialty Industrial Machinery,Curtiss-Wright Corporation,EQUITY,Industrials,CW
Software—Application,Onion Global Limited,EQUITY,Technology,OG
Software—Application,"Zoom Video Communications, Inc.",EQUITY,Technology,ZM
Leisure,Brunswick Corporation,EQUITY,Consumer Cyclical,BC
Auto Manufacturers,Li Auto Inc.,EQUITY,Consumer Cyclical,LI
Information Technology Services,"Gartner, Inc.",EQUITY,Technology,IT
Advertising Agencies,"Ziff Davis, Inc.",EQUITY,Communication Services,ZD
Communication Equipment,Knowles Corporation,EQUITY,Technology,KN
REIT—Specialty,Weyerhaeuser Company,EQUITY,Real Estate,WY
Chemicals,Zymergen Inc.,EQUITY,Basic Materials,ZY
Oil & Gas Equipment & Services,Tenaris S.A.,EQUITY,Energy,TS
Metal Fabrication,Tredegar Corporation,EQUITY,Industrials,TG
Discount Stores,"BJ's Wholesale Club Holdings, I",EQUITY,Consumer Defensive,BJ
Software—Application,ZoomInfo Technologies Inc.,EQUITY,Technology,ZI
Credit Services,Jianpu Technology Inc.,EQUITY,Financial Services,JT
Banks—Regional,"Prosperity Bancshares, Inc.",EQUITY,Financial Services,PB
Software—Application,"PagerDuty, Inc.",EQUITY,Technology,PD
Internet Retail,"PARTS iD, Inc.",EQUITY,Consumer Cyclical,ID
Software—Application,"DoubleVerify Holdings, Inc.",EQUITY,Technology,DV
Credit Services,Mastercard Incorporated,EQUITY,Financial Services,MA
Capital Markets,"Goldman Sachs Group, Inc. (The)",EQUITY,Financial Services,GS
Restaurants,"Sweetgreen, Inc.",EQUITY,Consumer Cyclical,SG
Semiconductors,"Micron Technology, Inc.",EQUITY,Technology,MU
Confectioners,"Tootsie Roll Industries, Inc.",EQUITY,Consumer Defensive,TR
Internet Retail,"JD.com, Inc.",EQUITY,Consumer Cyclical,JD
Insurance—Reinsurance,"Everest Re Group, Ltd.",EQUITY,Financial Services,RE
Aerospace & Defense,EHang Holdings Limited,EQUITY,Industrials,EH
Utilities—Regulated Gas,NiSource Inc,EQUITY,Utilities,NI
Auto Parts,XL Fleet Corp.,EQUITY,Consumer Cyclical,XL
Scientific & Technical Instruments,Sensata Technologies Holding pl,EQUITY,Technology,ST
Personal Services,"WW International, Inc.",EQUITY,Consumer Cyclical,WW
Healthcare Plans,Cigna Corporation,EQUITY,Healthcare,CI
REIT—Hotel & Motel,Park Hotels & Resorts Inc.,EQUITY,Real Estate,PK
Communication Equipment,Ubiquiti Inc.,EQUITY,Technology,UI
Specialty Retail,Boqii Holding Limited,EQUITY,Consumer Cyclical,BQ
Asset Management,Franklin Universal Trust,EQUITY,Financial Services,FT
Specialty Chemicals,"DuPont de Nemours, Inc.",EQUITY,Basic Materials,DD
Broadcasting,Grupo Televisa S.A.,EQUITY,Communication Services,TV
Software—Infrastructure,"Marqeta, Inc.",EQUITY,Technology,MQ
Software—Application,"Eventbrite, Inc.",EQUITY,Technology,EB
Auto Manufacturers,General Motors Company,EQUITY,Consumer Cyclical,GM
Chemicals,FutureFuel Corp.,EQUITY,Basic Materials,FF
